time,KE,dt
0,0,0
0.0001,690190.15715617,2.6440416544961e-05
0.0002,1714668.3599467,2.6440416544961e-05
0.0003,3200209.8466833,2.6440416544961e-05
0.0004,6299149.4991748,2.6440416544961e-05
0.0005,11919710.887598,2.6440416544961e-05
0.0006,20897880.393907,2.6328797717799e-05
0.0007,33503163.173509,2.6440416544961e-05
0.0008,50705016.004998,2.6440416544961e-05
0.0009,73567436.072629,2.6440416544961e-05
0.001,102735505.8099,2.6440416544961e-05
0.0011,138734106.13658,2.6440416544961e-05
0.0012,182428677.80888,2.6437285058032e-05
0.0013,235512302.19894,2.6440416544961e-05
0.0014,297858148.27247,2.6440416544961e-05
0.0015,370706483.81028,2.6440416544962e-05
0.0016,454222403.17512,2.6440416544961e-05
0.0017,550344837.85091,2.6440416544962e-05
0.0018,659667941.69003,2.6440416544961e-05
0.0019,782003350.78253,2.6440416544961e-05
0.002,917456408.99082,2.6440416544961e-05
0.0021,1066653229.1886,2.6440416544961e-05
0.0022,1232006286.6062,2.6440416544961e-05
0.0023,1413296272.5658,2.6440416544961e-05
0.0024,1609799216.9697,2.6440416544962e-05
0.0025,1820213925.7941,2.6440416544961e-05
0.0026,2046057358.2649,2.6440416544961e-05
0.0027,2288602639.2063,2.6440416544961e-05
0.0028,2547353769.3112,2.6440416544961e-05
0.0029,2819955194.0716,2.6440416544961e-05
0.003,3105614500.3755,2.6440416544962e-05
0.0031,3405011697.3666,2.6440416544962e-05
0.0032,3718984741.0305,2.644041654496e-05
0.0033,4045327547.565,2.644041654496e-05
0.0034,4381683783.4995,2.6440416544962e-05
0.0035,4727166134.9947,2.6440416544961e-05
0.0036,5082464003.4629,2.6440416544962e-05
0.0037,5447098039.975,2.6440416544955e-05
0.0038,5818181680.7205,2.644041654496e-05
0.0039,6193785738.8598,2.6440416544962e-05
0.004,6574020584.5355,2.6440416544962e-05
0.0041,6959634606.3515,2.6440416544962e-05
0.0042,7349082629.902,2.644041654496e-05
0.0043,7739843651.5246,2.6440416544962e-05
0.0044,8130655733.4178,2.6440416544959e-05
0.0045,8522258577.5232,2.6440416544962e-05
0.0046,8915183999.8566,2.6440416544962e-05
0.0047,9308113356.0948,2.6297954790763e-05
0.0048,9699192028.9474,2.6440416544962e-05
0.0049,10088378052.434,2.6440416544961e-05
0.005,10476476616.105,2.6440416544961e-05
0.0051,10863389497.305,2.6440416544962e-05
0.0052,11247962076.314,2.6440416544959e-05
0.0053,11629405704.522,2.6440416544962e-05
0.0054,12008099694.448,2.6440416544962e-05
0.0055,12384351604.984,2.6440416544961e-05
0.0056,12757539981.395,2.6440416544961e-05
0.0057,13126728926.05,2.6440416544961e-05
0.0058,13491778806.006,2.644041654496e-05
0.0059,13853084730.873,2.6440416544962e-05
0.006,14210685862.17,2.6440416544961e-05
0.0061,14563828246.871,2.6440416544961e-05
0.0062,14911758554.158,2.6440416544963e-05
0.0063,15254359851.479,2.644041654496e-05
0.0064,15591655801.242,2.6440416544961e-05
0.0065,15923376125.097,2.6440416544962e-05
0.0066,16248966804.672,2.6440416544961e-05
