time,KE,dt
0,0,0
1e-05,287.62903514291,2.6440416544961e-05
2e-05,4321.4688929375,2.6440416544961e-05
3e-05,20440.684145067,2.5025576932947e-05
4e-05,56799.979294309,2.6440416544961e-05
5e-05,117323.7286327,2.6440416544961e-05
6e-05,201468.44666443,2.6440416544961e-05
7e-05,305928.97457307,2.6440416544961e-05
8e-05,425981.31907694,2.6440416544961e-05
9e-05,556037.47580766,2.6440416544961e-05
0.0001,690190.15715617,2.6440416544961e-05
0.00011,823055.80704208,2.6440416544961e-05
0.00012,950454.39051834,2.6440416544961e-05
0.00013,1069601.768273,2.5025576933262e-05
0.00014,1179090.2331659,2.6440416544962e-05
0.00015,1278988.4737248,2.6440416544961e-05
0.00016,1370891.6451491,2.5025576933263e-05
0.00017,1457528.0606029,2.6440416544961e-05
0.00018,1541957.7045259,2.6440416544962e-05
0.00019,1626904.1297217,2.6440416544961e-05
0.0002,1714668.3599467,2.6440416544961e-05
0.00021,1807491.4102661,2.5025576933595e-05
0.00022,1907846.1217484,2.6440416544961e-05
0.00023,2018326.7323688,2.3949208033225e-05
0.00024,2141261.8406874,2.5025576932921e-05
0.00025,2278392.044003,2.3635400919418e-05
0.00026,2430801.7699777,2.6440416544961e-05
0.00027,2599049.0651125,2.6440416544961e-05
0.00028,2783351.8393705,2.6440416544961e-05
0.00029,2983748.5076625,2.6440416544962e-05
0.0003,3200209.8468111,2.6440416544961e-05
0.00031,3432690.7402734,2.5025576933668e-05
0.00032,3681134.0007971,2.6440416544961e-05
0.00033,3945491.0983655,2.5025576933669e-05
0.00034,4225836.3792556,2.6440416544961e-05
0.00035,4522573.1550207,2.6440416544961e-05
0.00036,4836622.1361535,2.6440416544961e-05
0.00037,5169454.3918941,2.5025576933263e-05
0.00038,5522916.3078228,2.6440416544961e-05
0.00039,5898920.5385546,2.6440416544961e-05
0.0004,6299149.4999008,2.6440416544961e-05
0.00041,6724903.660801,2.6440416544961e-05
0.00042,7177156.0211651,2.644041654496e-05
0.00043,7656788.0955655,2.6440416544961e-05
0.00044,8164906.3101072,2.6440416544961e-05
0.00045,8703091.8029401,2.6440416544961e-05
0.00046,9273446.7186144,2.6440416544961e-05
0.00047,9878375.4502428,2.6440416544961e-05
0.00048,10520150.468713,2.4391106028619e-05
0.00049,11200403.472454,2.6440416544961e-05
0.0005,11919710.8893,2.6440416544961e-05
0.00051,12677405.496567,2.6440416544961e-05
0.00052,13471671.671854,2.6440416544961e-05
0.00053,14299903.071564,2.6440416544959e-05
0.00054,15159238.034706,2.5025576932926e-05
0.00055,16047148.978126,2.6440416544961e-05
0.00056,16961953.794921,2.5025576932926e-05
0.00057,17903142.917237,2.6440416544961e-05
0.00058,18871469.209855,2.6440416544961e-05
0.00059,19868812.104077,2.5267238484362e-05
0.0006,20897880.397003,2.6440416544961e-05
0.00061,21961843.003506,2.5025576932926e-05
0.00062,23063969.101337,2.6440416544961e-05
0.00063,24207327.654947,2.6440416544961e-05
0.00064,25394559.486556,2.6440416544961e-05
0.00065,26627711.348016,1.8576367721252e-05
0.00066,27908120.054969,2.6440416544961e-05
